algorithm,k,superholderpriority,path,recall
transitivedpi_alpha0.4,1,0,11,0
transitivedpi_alpha0.4,1,1,11,0
transitivedpi_alpha0.4,1,0,12,0
transitivedpi_alpha0.4,1,1,12,0
transitivedpi_alpha0.5,1,0,1,0.989769820971867
transitivedpi_alpha0.5,1,1,1,0.9923273657289
transitivedpi_alpha0.5,1,0,2,0.052863436123348
transitivedpi_alpha0.5,1,1,2,0.929515418502203
transitivedpi_alpha0.5,1,0,3,0
transitivedpi_alpha0.5,1,1,3,0.888888888888889
transitivedpi_alpha0.5,1,0,4,0
transitivedpi_alpha0.5,1,1,4,0.873563218390805
transitivedpi_alpha0.5,1,0,5,0
transitivedpi_alpha0.5,1,1,5,0.944444444444444
transitivedpi_alpha0.5,1,0,6,0
transitivedpi_alpha0.5,1,1,6,0.736842105263158
transitivedpi_alpha0.5,1,0,7,0
transitivedpi_alpha0.5,1,1,7,1
transitivedpi_alpha0.5,1,0,8,0
transitivedpi_alpha0.5,1,1,8,0.6
transitivedpi_alpha0.5,1,0,9,0
transitivedpi_alpha0.5,1,1,9,0.142857142857143
transitivedpi_alpha0.5,1,0,10,0
transitivedpi_alpha0.5,1,1,10,0.0625
transitivedpi_alpha0.5,1,0,11,0
transitivedpi_alpha0.5,1,1,11,0
transitivedpi_alpha0.5,1,0,12,0
transitivedpi_alpha0.5,1,1,12,0
transitivedpi_alpha0.6,1,0,1,0.989769820971867
transitivedpi_alpha0.6,1,1,1,0.9923273657289
transitivedpi_alpha0.6,1,0,2,0.0881057268722467
transitivedpi_alpha0.6,1,1,2,0.929515418502203
transitivedpi_alpha0.6,1,0,3,0
transitivedpi_alpha0.6,1,1,3,0.888888888888889
transitivedpi_alpha0.6,1,0,4,0
transitivedpi_alpha0.6,1,1,4,0.873563218390805
transitivedpi_alpha0.6,1,0,5,0
transitivedpi_alpha0.6,1,1,5,0.944444444444444
transitivedpi_alpha0.6,1,0,6,0
transitivedpi_alpha0.6,1,1,6,0.736842105263158
transitivedpi_alpha0.6,1,0,7,0
transitivedpi_alpha0.6,1,1,7,1
transitivedpi_alpha0.6,1,0,8,0
transitivedpi_alpha0.6,1,1,8,0.6
transitivedpi_alpha0.6,1,0,9,0
transitivedpi_alpha0.6,1,1,9,0.142857142857143
transitivedpi_alpha0.6,1,0,10,0
transitivedpi_alpha0.6,1,1,10,0.0625
transitivedpi_alpha0.6,1,0,11,0
transitivedpi_alpha0.6,1,1,11,0
transitivedpi_alpha0.6,1,0,12,0
transitivedpi_alpha0.6,1,1,12,0
transitivedpi_alpha0.7,1,0,1,0.989769820971867
transitivedpi_alpha0.7,1,1,1,0.9923273657289
transitivedpi_alpha0.7,1,0,2,0.092511013215859
transitivedpi_alpha0.7,1,1,2,0.929515418502203
transitivedpi_alpha0.7,1,0,3,0
transitivedpi_alpha0.7,1,1,3,0.888888888888889
transitivedpi_alpha0.7,1,0,4,0
transitivedpi_alpha0.7,1,1,4,0.873563218390805
transitivedpi_alpha0.7,1,0,5,0
transitivedpi_alpha0.7,1,1,5,0.944444444444444
transitivedpi_alpha0.7,1,0,6,0
transitivedpi_alpha0.7,1,1,6,0.736842105263158
transitivedpi_alpha0.7,1,0,7,0
transitivedpi_alpha0.7,1,1,7,1
transitivedpi_alpha0.7,1,0,8,0
transitivedpi_alpha0.7,1,1,8,0.6
transitivedpi_alpha0.7,1,0,9,0
transitivedpi_alpha0.7,1,1,9,0.142857142857143
transitivedpi_alpha0.7,1,0,10,0
transitivedpi_alpha0.7,1,1,10,0.0625
transitivedpi_alpha0.7,1,0,11,0
transitivedpi_alpha0.7,1,1,11,0
transitivedpi_alpha0.7,1,0,12,0
transitivedpi_alpha0.7,1,1,12,0
transitivedpi_alpha0.8,1,0,1,0.989769820971867
transitivedpi_alpha0.8,1,1,1,0.9923273657289
transitivedpi_alpha0.8,1,0,2,0.0969162995594714
transitivedpi_alpha0.8,1,1,2,0.929515418502203
transitivedpi_alpha0.8,1,0,3,0.288888888888889
transitivedpi_alpha0.8,1,1,3,0.916666666666667
transitivedpi_alpha0.8,1,0,4,0.252873563218391
transitivedpi_alpha0.8,1,1,4,0.919540229885057
transitivedpi_alpha0.8,1,0,5,0
transitivedpi_alpha0.8,1,1,5,0.944444444444444
transitivedpi_alpha0.8,1,0,6,0
transitivedpi_alpha0.8,1,1,6,0.736842105263158
transitivedpi_alpha0.8,1,0,7,0
transitivedpi_alpha0.8,1,1,7,1
transitivedpi_alpha0.8,1,0,8,0
transitivedpi_alpha0.8,1,1,8,0.6
transitivedpi_alpha0.8,1,0,9,0
transitivedpi_alpha0.8,1,1,9,0.142857142857143
transitivedpi_alpha0.8,1,0,10,0
transitivedpi_alpha0.8,1,1,10,0.0625
transitivedpi_alpha0.8,1,0,11,0
transitivedpi_alpha0.8,1,1,11,0
transitivedpi_alpha0.8,1,0,12,0
transitivedpi_alpha0.8,1,1,12,0
transitivedpi_alpha0.9,1,0,1,0.989769820971867
transitivedpi_alpha0.9,1,1,1,0.9923273657289
transitivedpi_alpha0.9,1,0,2,0.0969162995594714
transitivedpi_alpha0.9,1,1,2,0.929515418502203
transitivedpi_alpha0.9,1,0,3,0.288888888888889
transitivedpi_alpha0.9,1,1,3,0.916666666666667
